UniqueID,Gene.Name,U1-WT-500-BIO2197294_vs_DMSO_logFC,P.Value.x,Adj.P.Value.x,U1-WT-500-BIO2197294_vs_WT-500_logFC,P.Value.y,Adj.P.Value.y,U1-WT-500-Branaplam_vs_DMSO_logFC,P.Value.x.1,Adj.P.Value.x.1,U1-WT-500-Branaplam_vs_WT-500_logFC,P.Value.y.1,Adj.P.Value.y.1
ENSG00000176945.17,MUC20,1.3749462375018,0.00180048160443436,0.0148861474478446,0.573991666989321,0.072139435785706,0.275216686427631,1.00125863899956,0.00886093241334897,0.733415010694672,NA,NA,NA
ENSG00000256683.7,ZNF350,1.37437391739109,1.49626797477913e-12,1.25305739178188e-10,1.43298112592511,1.39327974669592e-13,2.06938707640836e-11,NA,NA,NA,NA,NA,NA
ENSG00000204947.9,ZNF425,1.37228592180602,2.72024319485763e-11,1.79037978162954e-09,1.61323335451991,2.29746333442226e-15,6.03110839975779e-13,NA,NA,NA,NA,NA,NA
ENSG00000189149.12,CRYM-AS1,1.37218069446147,2.46049177007774e-07,6.07068534401967e-06,1.01463398759859,0.000102037689805283,0.00124384605023978,NA,NA,NA,NA,NA,NA
ENSG00000155970.12,MICU3,1.3720886746778,4.20576816682471e-11,2.62748056732244e-09,1.40968816970541,1.28659855483188e-11,1.07578699903276e-09,NA,NA,NA,NA,NA,NA
ENSG00000274602.5,PI4KAP1,1.37203451442508,4.72414144577787e-11,2.93562672554787e-09,1.28225641934721,9.89929998616809e-10,4.70498097868907e-08,NA,NA,NA,NA,NA,NA
ENSG00000124143.10,ARHGAP40,1.37114180022818,0.00197617541332402,0.0161107252380725,0.470496251018194,0.116450673094871,0.391977097926019,NA,NA,NA,NA,NA,NA
ENSG00000215908.10,CROCCP2,1.3685551061482,3.89345366660328e-12,2.99245213553242e-10,1.36259866858817,4.61865392910376e-12,4.41825131794265e-10,NA,NA,NA,NA,NA,NA
ENSG00000148339.12,SLC25A25,1.367921624198,1.23335357473722e-14,1.67542478335669e-12,1.13316907433938,4.33391070166312e-10,2.23895578949077e-08,NA,NA,NA,NA,NA,NA
ENSG00000253846.2,PCDHGA10,-1.36603883120789,0.00394329158369911,0.0284800126769351,-0.325040999337815,0.164125580121858,0.501731369433217,NA,NA,NA,NA,NA,NA
ENSG00000261794.1,GOLGA8H,1.36514811682792,2.14800997717146e-09,8.78953644774275e-08,1.39568579129206,9.68122452810185e-10,4.61104061068412e-08,NA,NA,NA,NA,NA,NA
ENSG00000008128.23,CDK11A,1.36492974347784,2.16080424524539e-13,2.26399960493984e-11,1.11289737899899,5.0995237931652e-09,1.99873002004336e-07,NA,NA,NA,NA,NA,NA
ENSG00000165684.4,SNAPC4,1.36397714521481,1.42476459331282e-13,1.54835463826763e-11,1.27059202106169,8.29852291512364e-12,7.40503768110005e-10,NA,NA,NA,NA,NA,NA
ENSG00000253251.3,SHLD3,1.363512000325,1.17499026292277e-14,1.61492044077591e-12,1.06807415201139,4.11631070054843e-09,1.6654091465158e-07,NA,NA,NA,NA,NA,NA
ENSG00000185917.13,SETD4,1.36265811113575,7.15659218792043e-16,1.27644104176153e-13,1.30168711133965,1.90322844055155e-14,3.7362856759906e-12,NA,NA,NA,NA,NA,NA
ENSG00000185864.16,NPIPB4,1.36219354475359,1.60677105304285e-11,1.10418251924547e-09,1.45387351136527,4.66511226311813e-13,5.88377510905894e-11,NA,NA,NA,NA,NA,NA
ENSG00000261556.10,SMG1P7,1.36199968899671,6.91432808913297e-10,3.17393469160299e-08,1.53458152601263,2.85042139394513e-12,2.91181508550703e-10,NA,NA,NA,NA,NA,NA
ENSG00000213997.3,PGAM1P7,1.36182649011024,0.00259540206127583,0.0201333230948571,2.35535398880912,3.91782054337912e-05,0.00054363071043225,NA,NA,NA,NA,NA,NA
ENSG00000138670.17,RASGEF1B,1.36087801997434,1.18980197028469e-11,8.37341055292225e-10,1.11468272860712,5.21982045533193e-08,1.58687073838951e-06,NA,NA,NA,NA,NA,NA
ENSG00000111801.16,BTN3A3,1.36072449557216,5.86536708324379e-08,1.68981876572122e-06,1.72067255273795,9.33921381303486e-12,8.20397241412743e-10,NA,NA,NA,NA,NA,NA
ENSG00000213453.3,FTH1P3,1.35917268946715,0.00345518106471973,0.0254268678983233,NA,NA,NA,0.0450393697669003,0.00473513591871507,0.51707686710124,NA,NA,NA
ENSG00000213762.12,ZNF134,1.35851046183737,1.29779280256152e-13,1.43710563184123e-11,1.33015406077948,4.6398712836692e-13,5.88377510905894e-11,NA,NA,NA,NA,NA,NA
ENSG00000140839.11,CLEC18B,1.35582989995215,0.00532996748824588,0.036627850106725,1.70144206765188,0.00155029415487834,0.0125176827040534,NA,NA,NA,NA,NA,NA
ENSG00000011021.23,CLCN6,1.35304759888723,1.59207570569092e-12,1.32853031655244e-10,1.48179103884093,6.07909399475632e-15,1.38627905076382e-12,NA,NA,NA,NA,NA,NA
ENSG00000165935.9,SMCO2,1.35035831957586,0.00717344925479061,0.0471337575472955,0.799070054268058,0.0349497977689151,0.157145316556667,NA,NA,NA,NA,NA,NA
ENSG00000104859.15,CLASRP,1.34944932318306,6.31439640050576e-14,7.37679359489085e-12,1.13379422985102,6.86015648511683e-10,3.40384379797797e-08,NA,NA,NA,NA,NA,NA
ENSG00000197647.11,ZNF433,1.34902902082466,4.05739302394475e-07,9.56619455140959e-06,1.28915105114274,1.34025997345839e-06,2.87620809513275e-05,NA,NA,NA,NA,NA,NA
ENSG00000215154.6,AC141586.1,1.34723486578146,4.49365583101826e-13,4.30304379064515e-11,1.49257818290607,5.58485533948914e-16,1.9370405425615e-13,NA,NA,NA,NA,NA,NA
ENSG00000107485.18,GATA3,1.34631559795766,5.77604765747295e-14,6.83662397183008e-12,1.08232383813694,4.17619376247103e-09,1.68360268538475e-07,NA,NA,NA,NA,NA,NA
ENSG00000135740.17,SLC9A5,1.34552288970233,5.40099074443027e-10,2.53094356245263e-08,1.32829292730479,1.11818569900659e-09,5.24826618311283e-08,NA,NA,NA,NA,NA,NA
ENSG00000186645.9,SPDYE17,1.34455246583806,0.00171568466883733,0.0143014528317461,0.871666016013823,0.020448099504584,0.102791426055553,NA,NA,NA,NA,NA,NA
ENSG00000185869.14,ZNF829,1.34428206611597,2.92487242549712e-13,2.9456743199026e-11,1.2999311141834,2.04101603637795e-12,2.1531765437976e-10,NA,NA,NA,NA,NA,NA
ENSG00000075826.17,SEC31B,1.34392051567256,1.71743147956996e-06,3.48029371380331e-05,1.60738895772721,1.0546409862416e-08,3.82176162205303e-07,NA,NA,NA,NA,NA,NA
ENSG00000132680.11,KHDC4,1.34270719338984,9.17944057042349e-11,5.28270021990012e-09,1.32443799810413,1.71881086387595e-10,1.00528171147315e-08,NA,NA,NA,NA,NA,NA
ENSG00000260784.1,AC026150.3,1.34218073515741,0.00637969563576019,0.0426499537995814,0.668352288697373,0.0445838554062155,0.190421202185445,NA,NA,NA,NA,NA,NA
ENSG00000116039.13,ATP6V1B1,1.34134812051141,0.000176367872377931,0.00205733167154786,2.04001471148895,5.83141523005292e-08,1.755333736449e-06,NA,NA,NA,NA,NA,NA
