,minpadj_maxPdPSI_LMI070_01x,dPSI_LMI070_01x,Algorithem.x,minpadj_maxPdPSI_LMI070_03x,dPSI_LMI070_03x,Algorithem.y,minpadj_maxPdPSI_LMI070_10x,dPSI_LMI070_10x,Algorithem.x,minpadj_maxPdPSI_RG7916_01x,dPSI_RG7916_01x,Algorithem.y,minpadj_maxPdPSI_RG7916_03x,dPSI_RG7916_03x,Algorithem.x,minpadj_maxPdPSI_RG7916_10x,dPSI_RG7916_10x,Algorithem.y
AC004383.4,NA,NA,NA,0.842005992987367,0.0732563524227515,leafcutter,NA,NA,NA,0.987751658734775,0.0368637701162966,majiq,0.99938297657256,0.0151802739737524,leafcutter,0.996044448095117,-0.0296126490553756,majiq
AC004696.2,0.854882113319938,0.0388834743514901,leafcutter,0.944306452180377,0.0468439619944555,leafcutter,0.997963971789398,-0.0308847022111527,majiq,0.998457749375472,-0.0202848944301828,majiq,0.801067355642,-0.164,rmats,0.980965729629616,0.0431570720450514,leafcutter
AC004754.3,0.999999692589718,-0.015338328299787,majiq,0.999999999999994,-0.0142518249638295,majiq,0.999999811746415,-0.0160174390587762,majiq,0.999999837100813,-0.015942947133798,majiq,0.999999834373069,-0.01596318067148,majiq,0.999999825605746,-0.0159988105965297,majiq
AC004945.2,0.365148396534,0.194,rmats,0.0827727995645091,0.102006766507217,leafcutter,0.136638644065564,0.0907116467556148,leafcutter,0.253692907989,-0.08,rmats,0.893422980799567,0.0341221842412829,leafcutter,0.627546820699461,0.086358108473978,leafcutter
AC004967.7,0.79467895039907,0.0793626457531096,leafcutter,0.727026553094877,0.0572722638966225,leafcutter,0.84687919557161,0.0405861761213929,leafcutter,NA,NA,NA,0.801398943202131,0.0774636718285426,leafcutter,NA,NA,NA
AC004980.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326999552661,-0.38,rmats
AC004985.13,0.999583643610806,-0.0191927828054295,majiq,0.999983512102687,0.0229334650315389,majiq,0.999592108043381,-0.0255262445551843,majiq,0.999545443555458,-0.0322424374558723,majiq,0.99956723428264,-0.0311385922554538,majiq,0.999523852775613,-0.0245457817770176,majiq
AC005154.6,0.600971386557,0.328,rmats,0.265843241184,0.12,rmats,0.279779066517,0.105,rmats,0.00978395152633,0.346,rmats,0.740007019236,0.328,rmats,0.354482436183,0.118,rmats
AC005301.5,0.00378109474446,0.337,rmats,0.346883123617,-0.428,rmats,0.0309791646507,0.242,rmats,0.0130470884361,0.315,rmats,0.01179525924,-0.61,rmats,0.625783681177,0.207,rmats
AC005301.9,NA,NA,NA,0.932428513326,0.136,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC005324.8,0.995162005625424,-0.0390715348276118,majiq,0.999971651797272,-0.0348896863723612,majiq,0.994649389068667,-0.0395668489853492,majiq,0.999708729358377,-0.0274538460434036,majiq,0.996608587615216,-0.0308880349066881,majiq,0.99496708511164,-0.0385817283681993,majiq
AC005332.1,0.773342090985464,0.0311248336801083,leafcutter,0.752912485330055,0.0308729944494386,leafcutter,0.838786746150361,0.0863965880251493,leafcutter,0.8744373392279,0.0621107700530002,leafcutter,0.901746642630968,0.0774017971854442,leafcutter,0.828753657198811,0.05520282349998,leafcutter
AC005562.1,0.999998725504968,0.0245263917889406,leafcutter,0.562928693216,0.128,rmats,0.549614453125,0.122,rmats,0.999769599567597,-0.0195913770295432,majiq,0.974182059746577,0.0135899265145127,leafcutter,0.528527498041,0.12,rmats
AC006014.6,NA,NA,NA,0.999954684500674,-0.0256430800956178,majiq,0.999236463161529,-0.0306332430552939,majiq,NA,NA,NA,NA,NA,NA,0.999647228962229,-0.0219355519367443,majiq
AC006014.7,0.00993136729949,0.264,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0211494633173,0.293,rmats,NA,NA,NA
AC006116.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652121101687,-0.033,rmats,NA,NA,NA,0.792771108572,-0.035,rmats
