"","dPSI_NGN2_1949634.10uM"
"DNASE1",0.534
"ZBTB41",0.533238679963173
"XRN2",0.532
"NSUN6",0.531586875001558
"ZNF426",0.530517879379258
"TNRC6A",0.529974202247136
"YWHAB",0.529949385101097
"CLVS1",0.529048869934003
"EFCAB14",0.528860144388018
"TCF12",0.527652142003541
"FNIP2",0.527479767680622
"CAMSAP1",0.526819122260544
"CDK14",0.526647598812929
"RCC1",0.522808710852492
"URGCP",0.522704987998252
"MARCHF8",0.522
"NFASC",0.521
"AC044860.1",0.520348927389133
"MYO18A",0.519463126437233
"RPL36",0.51873503359599
"CCDC30",0.517968302313665
"MYEF2",0.517690650469434
"VPS53",0.516069994380766
"AC092614.1",0.513563873742593
"ATXN7L2",0.512327414133944
"LINC01844",0.511550144447323
"MCF2L",0.511390610655523
"SLC35A1",0.51115486557495
"RFT1",0.510074198993229
"RAB30-DT",0.509471034363204
"PCDHAC1",0.508822034648728
"TMEM50B",0.508
"PSMB1",0.50715328191043
"RPS10",0.507
"TMED9",0.505900488131959
"ARL5B",0.505293481252684
"SPOPL",0.505
"TBL1X",0.505
"ARHGAP44",0.504913545587931
"OVGP1",0.504440942272807
"NRXN3",0.504080033474141
"PEPD",0.504
"KANK3",0.503109837199293
"PRMT2",0.503
"LRP5",0.502870014201304
"INTU",0.502
"ZNF266",0.501
"APAF1",0.500845108746599
"PBX3",0.500086742111926
"RUNX1T1",0.5
"TTPAL",0.5
"SIPA1L1",0.499919088207868
"PIGB",0.499
"SBF2",0.498549481891367
"FBXO38",0.497
"TMEM131",0.496377145131588
"PRKDC",0.496
"MTDH",0.495956325155838
"ADAM17",0.495
"SKP1",0.495
"ABLIM3",0.494
"LARP7",0.494
"FAIM",0.492985770603206
"FEZF1-AS1",0.492519106409318
"RAD1",0.492430304431043
"CLOCK",0.491487889751602
"MAFK",0.49140252340503
"PROSER1",0.491
"MAN1A2",0.490388735534964
"PHF14",0.490376400939998
"ZMAT3",0.490206603203855
"MMGT1",0.489580652987836
"REV3L",0.489418499927297
"FBL",0.489173952345588
"ADCY8",0.489073411581616
"NCAM1",0.489
"SLC9A8",0.489
"USP9Y",0.487749285951148
"SORBS1",0.487
"TBRG4",0.487
"ASCC2",0.486890134406737
"ANKRD13D",0.486808862130413
"GRAMD1A",0.48669056914452
"PIGF",0.486478275188198
"CCDC88A",0.486
"DNM3",0.486
"STX2",0.485211545203876
"TMEM43",0.485192322278995
"VIPAS39",0.485171609024448
"ADGRL3",0.484390338976401
"ZMAT2",0.484211274019221
"AL117339.4",0.483671368936388
"TPRN",0.482670961053933
"ZNF777",0.4823902390127
"PDLIM7",0.482
"SOS2",0.482
"CDR2L",0.481961152963293
"RGS17",0.481826682865513
"CEP41",0.481282434605822
"ICE2",0.480195057976875
"ACVR1B",0.48
"MFF",0.48
"WDR25",0.479722266012448
"SEPTIN2",0.478456328359353
"HTRA1",0.477984273388642
"SPRYD7",0.477091530513697
"FUCA2",0.477
"TMUB2",0.477
"NKAIN2",0.476101370352342
"MGRN1",0.476
"RABGGTB",0.476
"RBM41",0.474716329113397
"AP003108.2",0.473468308728776
"PHKA2",0.473215435577483
