"","dPSI_iPSC_1949634.3uM"
"SRGAP2B",0.257684306299169
"CLOCK",0.256536339709611
"STAG3L1",0.256159499645817
"TTC28",0.255911331622939
"PRRC2C",0.254786569813288
"KLHL2",0.253483243113644
"UGGT2",0.253405628869317
"NR2C2",0.252282656454519
"ZNF570",0.251883278013493
"B4GALT2",0.251768940565573
"SLC25A22",0.251643316998967
"DSC2",0.250758118060548
"LARP6",0.250610484731686
"TERT",0.250576230744337
