Row.names,dPSI_U1_WT_500_BIO2197294_vs_DMSO_EtOH.x,dPSI_U1_WT_500_Branaplam_vs_DMSO_EtOH.x,dPSI_U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_Branaplam_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_EtOH_vs_DMSO_EtOH.x
TTC9C,-0.263074303875459,NA,-0.273283105722156,NA,NA
TUBG2,0.315219061098324,NA,0.33308310799287,NA,NA
TUBGCP4,-0.373368752246223,NA,NA,NA,NA
TXNDC16,-0.26177424039605,NA,-0.290304941076063,NA,NA
U2AF1L4,NA,NA,-0.26345274240058,NA,NA
UBA6.AS1,0.296244731247646,NA,NA,NA,NA
ULK4,0.317822380949883,NA,NA,NA,NA
VPS8,-0.263344729280133,NA,NA,NA,NA
VWDE,NA,NA,-0.312972884503024,NA,NA
WASHC4,-0.342934334132231,NA,-0.313244006306636,NA,NA
WDR17,0.362055465082053,NA,NA,NA,NA
WDR27,0.251385374790362,NA,NA,NA,NA
WHAMM,-0.336506380618097,NA,-0.301328989817088,NA,NA
XPA,-0.269257385406999,NA,NA,NA,NA
XRN2,-0.431350017447557,NA,-0.430846119284423,NA,NA
ZDHHC11,-0.343953858294849,NA,NA,NA,NA
ZDHHC17,-0.28246919227013,NA,-0.277911760581034,NA,NA
ZFP62,-0.279050263454657,-0.284917636525476,NA,NA,NA
ZHX3,-0.274481810671491,NA,NA,NA,NA
ZNF10,-0.304444154718861,NA,NA,NA,NA
ZNF276,NA,NA,-0.318719893062924,NA,NA
ZNF324B,0.281926389517587,NA,0.376221090098351,NA,NA
ZNF37BP,0.354138468186425,0.421107495613949,0.310359245050092,NA,NA
ZNF419,NA,0.263907248548305,NA,NA,NA
ZNF529,NA,NA,0.252352240199505,NA,NA
ZNF618,-0.3783519337743,-0.26420575358658,-0.319427452813158,NA,NA
ZNF707,-0.285217100852837,NA,NA,NA,NA
ZNF711,0.288021713137334,NA,NA,NA,NA
ZNF829,-0.316851487726264,NA,NA,NA,NA
ZRANB2,0.319048057725598,NA,NA,NA,NA
