Row.names,dPSI_DMSO_CHX_vs_DMSO_EtOH,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_WT_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,dPSI_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,dPSI_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
ANKRD16,0.282733616213315,NA,0.279306342244499,NA,NA,0.308746330980084,NA,0.282605335557262,0.273066521079222,NA
ANKRD18CP,NA,NA,NA,NA,0.252030749006782,0.251750946664311,NA,NA,NA,NA
ANKRD29,NA,NA,0.26305099716057,NA,NA,NA,NA,NA,NA,NA
ANKRD36,NA,NA,0.338804327175135,NA,0.261250424363925,0.27484891265954,NA,0.276345691047371,NA,0.301780531144376
ANKRD36B,NA,NA,0.335825003951923,NA,0.263249826965522,0.32551115884965,NA,NA,NA,NA
ANKRD36C,NA,0.289915404754769,NA,0.26702968557885,NA,NA,NA,0.260122589788954,NA,0.264676527025035
AP002495.1,NA,NA,NA,NA,NA,-0.275921725265254,-0.290851619640053,NA,-0.271394316596992,NA
AP1G2,NA,NA,NA,NA,NA,NA,0.252707951167471,NA,NA,NA
AP2M1,NA,NA,0.346529478179778,NA,NA,NA,NA,NA,0.311126996834418,NA
AP3B2,NA,NA,NA,NA,NA,NA,0.441286225866755,NA,NA,NA
APBB3,0.331876270602539,0.31991838073792,-0.284987278430756,0.427000667602823,NA,0.272999676991238,NA,0.250252298420215,0.353271702830108,0.280934319099
APLF,-0.327479362269547,-0.331324568562724,-0.410205996089525,NA,NA,-0.376226743279834,NA,-0.354544591395443,-0.34506991864457,-0.336569441336006
APOBEC3D,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.368230550106843
ARFIP2,NA,NA,NA,NA,NA,-0.317569984336429,-0.372902446711791,NA,NA,-0.272916076435329
ARHGAP32,NA,-0.257269842071965,NA,NA,-0.262963077298078,NA,NA,NA,NA,NA
ARHGAP33,NA,NA,NA,NA,NA,NA,0.626880896995038,NA,NA,NA
ARIH1,NA,NA,NA,NA,NA,NA,NA,NA,-0.266509930464264,NA
ARNTL,NA,NA,NA,-0.297738871513261,NA,NA,NA,NA,NA,NA
ARSG,NA,NA,NA,0.314642361868914,NA,NA,NA,NA,NA,NA
ARSK,-0.433366672764769,0.261807264409487,-0.349151752703911,-0.380406020203657,-0.368934490254309,-0.421407374488659,-0.433520299870723,-0.371316571397963,-0.408924139159011,-0.446619933907445
ARVCF,NA,NA,NA,NA,NA,NA,NA,-0.259813530981031,NA,NA
ASAP2,NA,NA,NA,NA,NA,-0.264464457258354,NA,NA,NA,NA
ASTE1,-0.272593514464859,-0.313499380139622,NA,-0.277510356233889,-0.309842989173691,-0.274534136560871,-0.303224371158846,-0.336868352750326,-0.252354039045413,-0.35675358106273
ASXL1,NA,0.562713279714841,NA,NA,NA,NA,NA,NA,NA,NA
ASXL3,NA,NA,NA,NA,-0.306670489616592,NA,NA,NA,NA,NA
ATAD2B,-0.272259221715804,-0.327736399164353,-0.282671474568842,0.254789811001386,-0.3613131751529,-0.34737485079169,-0.342230307311488,-0.413653830459299,-0.294185384529933,-0.384323981833918
ATF2,NA,-0.435198653256529,-0.431703665493643,-0.450762412534733,-0.379141584029286,-0.428045529405197,-0.375039265898559,-0.460766356289528,-0.444878545398076,0.266786675654306
ATP13A1,0.312715338262034,0.313093168839131,0.334869873271173,0.361723318343113,0.278399701580852,0.342944545136733,0.327249661992182,0.340022712753776,0.341521571493038,0.3582963480227
ATP1A1.AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.310312912157463
ATP5MC2,NA,NA,0.267532482964469,NA,NA,NA,NA,NA,NA,NA
ATP9B,NA,NA,NA,0.26313711714118,NA,NA,NA,NA,NA,NA
