"","X","dPSI_iPSC_1755497_3x","X","dPSI_iPSC_2006152_3x","X","dPSI_iPSC_2189972_3x","X","dPSI_iPSC_2194943_3x","X","dPSI_iPSC_2195127_3x","X","dPSI_iPSC_2195327_3x","X","dPSI_iPSC_2197294_3x","X","dPSI_NGN2_1755497_3x","X","dPSI_NGN2_2006152_3x","X","dPSI_NGN2_2189972_3x","X","dPSI_NGN2_2194943_3x","X","dPSI_NGN2_2195127_3x","X","dPSI_NGN2_2195327_3x","X","dPSI_NGN2_2197294_3x","X","dPSI_Sy5Y_1755497_3x","X","dPSI_Sy5Y_2006152_3x","X","dPSI_Sy5Y_2189972_3x","X","dPSI_Sy5Y_2194943_3x","X","dPSI_Sy5Y_2195127_3x"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HTT",0.408525332780387,"SETX",0.321890786662558,NA,NA,"SULF1",0.276749561075348,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A17",0.409619978946954,"EVC",0.286094962098404,NA,NA,"WDR27",0.389
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYCBP2",0.405,"NKAIN2",0.320349189269542,NA,NA,"ENOX1",0.257536240228221,NA,NA,NA,NA,NA,NA,NA,NA,"NUP58",0.406492440063365,"C12orf4",0.278819939389004,NA,NA,"SKP1",0.386607333158867
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SETX",0.402799574448268,"ADAM17",0.314,NA,NA,"KLHL1",0.252116237294518,NA,NA,NA,NA,NA,NA,NA,NA,"SENP6",0.39,"RAP1A",0.272515928228276,NA,NA,"CHEK1",0.382
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARMH3",0.38743328408764,"APIP",0.309365259364199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAR1A",0.389297661446869,"SPIDR",0.266860070699573,NA,NA,"SPIDR",0.381630315824061
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASCC3",0.386959794175332,"CXorf38",0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDM6A",0.389,"PCBP1-AS1",0.253739082956091,NA,NA,"HTT",0.373294494760712
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GALC",0.382985889368456,"ZFP82",0.307197815763166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APPL2",0.387649567182143,"PRICKLE1",0.252936323467366,NA,NA,"MELTF",0.370318165645761
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A17",0.381542860387172,"NUDT22",0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAP1A",0.382,"ZNF618",0.252931720136653,NA,NA,"TP53INP1",0.366
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DENND4A",0.379,"SLC25A17",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYCBP2",0.381,NA,NA,NA,NA,"ZMIZ2",0.363
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRIM65",0.377,"KLHL1",0.293068250680345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MSL3",0.38,NA,NA,NA,NA,"SENP6",0.359179344162136
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERGEF",0.371,"TSPAN7",0.287876475091789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TIAM1",0.371661065917471,NA,NA,NA,NA,"ABCB8",0.346
